              x;         linear;      quadratic;       exponent;      logarithm;          power;        segment
     0.0000E+00;    -9.7967E-18;               ;               ;               ;               ;     0.0000E+00
     1.0000E-02;     9.9883E-03;     9.9867E-03;               ;               ;               ;     1.0037E-02
     2.0000E-02;     1.9958E-02;     1.9959E-02;               ;               ;               ;     2.0168E-02
     3.0000E-02;     2.9898E-02;     2.9912E-02;               ;               ;               ;     3.0451E-02
     4.0000E-02;     3.9800E-02;     3.9841E-02;               ;               ;               ;     4.0949E-02
     5.0000E-02;     4.9648E-02;     4.9740E-02;               ;               ;               ;     5.1729E-02
     6.0000E-02;     5.9429E-02;     5.9602E-02;               ;               ;               ;     6.0460E-02
     7.0000E-02;     6.9124E-02;     6.9416E-02;               ;               ;               ;     7.1310E-02
     8.0000E-02;     7.8711E-02;     7.9171E-02;               ;               ;               ;     8.2575E-02
     9.0000E-02;     8.8163E-02;     8.8851E-02;               ;               ;               ;     9.4355E-02
     1.0000E-01;     9.7446E-02;     9.8436E-02;               ;               ;               ;     1.0676E-01
     1.1000E-01;     1.0652E-01;     1.0790E-01;               ;               ;               ;     1.1130E-01
     1.2000E-01;     1.1533E-01;     1.1721E-01;               ;               ;               ;     1.2373E-01
     1.3000E-01;     1.2380E-01;     1.2632E-01;               ;               ;               ;     1.3706E-01
     1.4000E-01;     1.3185E-01;     1.3518E-01;               ;               ;               ;     1.5148E-01
     1.5000E-01;     1.3937E-01;     1.4372E-01;               ;               ;               ;     1.6726E-01
     1.6000E-01;     1.4621E-01;     1.5184E-01;               ;               ;               ;     1.6237E-01
     1.7000E-01;     1.5216E-01;     1.5940E-01;               ;               ;               ;     1.7814E-01
     1.8000E-01;     1.5695E-01;     1.6624E-01;               ;               ;               ;     1.9595E-01
     1.9000E-01;     1.6019E-01;     1.7210E-01;               ;               ;               ;     2.1646E-01
     2.0000E-01;     1.6135E-01;     1.7662E-01;               ;               ;               ;     2.4061E-01
     2.1000E-01;     1.5961E-01;     1.7928E-01;               ;               ;               ;     2.6981E-01
     2.2000E-01;     1.5373E-01;     1.7927E-01;               ;               ;               ;     2.3695E-01
     2.3000E-01;     1.4172E-01;     1.7529E-01;               ;               ;               ;     2.6807E-01
     2.4000E-01;     1.2013E-01;     1.6508E-01;               ;               ;               ;     3.1030E-01
     2.5000E-01;     8.2371E-02;     1.4438E-01;               ;               ;               ;     3.7234E-01
     2.6000E-01;     1.4037E-02;     1.0385E-01;               ;               ;               ;     4.7498E-01
     2.7000E-01;    -1.2530E-01;     1.7442E-02;               ;               ;               ;     3.2653E-01
     2.8000E-01;    -5.3050E-01;    -2.3956E-01;               ;               ;               ;     5.6205E-01
     2.9000E-01;     3.2013E+00;     2.1278E+00;               ;               ;               ;    -2.5865E+00
     3.0000E-01;     3.0937E+00;     2.4037E+00;               ;               ;               ;    -3.6442E+00
     3.1000E-01;     2.9862E+00;     2.6719E+00;               ;               ;               ;    -4.7019E+00
     3.2000E-01;     2.8787E+00;     2.9322E+00;               ;               ;               ;    -1.5846E-01
     3.3000E-01;     2.7712E+00;     3.1849E+00;               ;               ;               ;    -1.2607E+00
     3.4000E-01;     2.6637E+00;     3.4297E+00;               ;               ;               ;    -2.3629E+00
     3.5000E-01;     2.5561E+00;     3.6668E+00;               ;               ;               ;    -3.4651E+00
     3.6000E-01;     2.4486E+00;     3.8962E+00;               ;               ;               ;    -4.5673E+00
     3.7000E-01;     2.3411E+00;     4.1178E+00;               ;               ;               ;     1.7868E-01
     3.8000E-01;     2.2336E+00;     4.3316E+00;               ;               ;               ;    -9.7193E-01
     3.9000E-01;     2.1261E+00;     4.5376E+00;               ;               ;               ;    -2.1225E+00
     4.0000E-01;     2.0185E+00;     4.7359E+00;               ;               ;               ;    -3.2732E+00
     4.1000E-01;     1.9110E+00;     4.9265E+00;               ;               ;               ;    -4.4238E+00
     4.2000E-01;     1.8035E+00;     5.1092E+00;               ;               ;               ;    -5.5744E+00
     4.3000E-01;     1.6960E+00;     5.2842E+00;               ;               ;               ;    -6.5964E-01
     4.4000E-01;     1.5885E+00;     5.4515E+00;               ;               ;               ;    -1.8631E+00
     4.5000E-01;     1.4809E+00;     5.6110E+00;               ;               ;               ;    -3.0665E+00
     4.6000E-01;     1.3734E+00;     5.7627E+00;               ;               ;               ;    -4.2700E+00
     4.7000E-01;     1.2659E+00;     5.9067E+00;               ;               ;               ;    -5.4734E+00
     4.8000E-01;     1.1584E+00;     6.0428E+00;               ;               ;               ;    -3.2024E-01
     4.9000E-01;     1.0508E+00;     6.1713E+00;               ;               ;               ;    -1.5816E+00
     5.0000E-01;     9.4333E-01;     6.2920E+00;               ;               ;               ;    -2.8429E+00
     5.1000E-01;     8.3581E-01;     6.4049E+00;               ;               ;               ;    -4.1043E+00
     5.2000E-01;     7.2829E-01;     6.5100E+00;               ;               ;               ;    -5.3656E+00
     5.3000E-01;     6.2077E-01;     6.6074E+00;               ;               ;               ;     5.0533E-02
     5.4000E-01;     5.1325E-01;     6.6971E+00;               ;               ;               ;    -1.2745E+00
     5.5000E-01;     4.0573E-01;     6.7789E+00;               ;               ;               ;    -2.5996E+00
     5.6000E-01;     2.9821E-01;     6.8530E+00;               ;               ;               ;    -3.9246E+00
     5.7000E-01;     1.9069E-01;     6.9194E+00;               ;               ;               ;    -5.2497E+00
